variant,task,model,seed,peft,peft_type,type,metric_key,metric_value,trainable_params_count,train_time,avg_memory_allocated_mb,max_memory_allocated_mb,avg_memory_reserved_mb,max_memory_reserved_mb,train_samples_per_second,train_steps_per_second,total_flos,rank,lora_alpha,lora_dropout,lora_ranks,model_family,file
kd-lora,cola,bert,42,dora,dora,1,eval_matthews_correlation,0.40967277521838724,0.748802,11.1874,297.787392,297.787392,1243.611136,1243.611136,2293.019,17.967,866825936044032.0,8,16,0.05,"[8, 4, 2, 1]",bert,results/kd-lora/task_cola_bert_42/base_32_5e-05_0.01/peft_dora_16_0.05_8/metrics.json
kd-lora,cola,bert,42,lora,lora,1,eval_matthews_correlation,0.40967277521838724,0.739586,9.0783,297.639936,297.639936,1073.741824,1073.741824,2825.763,22.141,866643836141568.0,8,16,0.05,"[8, 4, 2, 1]",bert,results/kd-lora/task_cola_bert_42/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
kd-lora,cola,bert,42,mrlora,mrlora,1,eval_matthews_correlation,0.42097986053121045,0.868658,16.0879,301.031424,301.031424,1723.8589440000003,1723.858944,1594.553,12.494,869194241409024.0,8,16,0.05,"[8, 4, 2, 1]",bert,results/kd-lora/task_cola_bert_42/base_32_5e-05_0.01/peft_mrlora_16_0.05_8/metrics.json
kd-lora,cola,bert,42,olora,olora,1,eval_matthews_correlation,0.43958516358050237,0.739586,9.1934,297.639936,297.639936,1071.644672,1071.644672,2790.362,21.863,866643836141568.0,8,16,0.05,"[8, 4, 2, 1]",bert,results/kd-lora/task_cola_bert_42/base_32_5e-05_0.01/peft_olora_16_0.05_8/metrics.json
kd-lora,cola,bert,42,rslora,rslora,1,eval_matthews_correlation,0.43262718467553657,0.739586,9.0102,298.622976,298.622976,1075.838976,1075.838976,2847.109,22.308,866643836141568.0,8,16,0.05,"[8, 4, 2, 1]",bert,results/kd-lora/task_cola_bert_42/base_32_5e-05_0.01/peft_rslora_16_0.05_8/metrics.json
kd-lora,mnli,bert,123,adalora,adalora,1,matched_accuracy,0.7535404992358635,0.814227,503.2564,299.646976,299.646976,1098.907648,1098.907648,2340.966,18.289,3.975276988779725e+16,8,16,0.05,"[8, 4, 2, 1]",bert,results/kd-lora/task_mnli_bert_123/base_32_5e-05_0.01/peft_adalora_16_0.05_8/metrics.json
kd-lora,mnli,bert,123,dora,dora,1,matched_accuracy,0.776158940397351,0.749571,551.896,297.837056,297.837056,1243.611136,1243.611136,2134.652,16.677,3.969425954832384e+16,8,16,0.05,"[8, 4, 2, 1]",bert,results/kd-lora/task_mnli_bert_123/base_32_5e-05_0.01/peft_dora_16_0.05_8/metrics.json
kd-lora,mnli,bert,123,lora,lora,1,matched_accuracy,0.7728986245542537,0.740355,473.6264,297.655296,297.655296,1071.644672,1071.644672,2487.416,19.433,3.968591979557683e+16,8,16,0.05,"[8, 4, 2, 1]",bert,results/kd-lora/task_mnli_bert_123/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
kd-lora,mnli,bert,123,mrlora,mrlora,1,matched_accuracy,0.7923586347427407,0.869427,737.6938,300.608512,300.608512,1723.8589440000003,1723.858944,1597.012,12.477,3.980270210383872e+16,8,16,0.05,"[8, 4, 2, 1]",bert,results/kd-lora/task_mnli_bert_123/base_32_5e-05_0.01/peft_mrlora_16_0.05_8/metrics.json
kd-lora,mnli,bert,123,olora,olora,1,matched_accuracy,0.7728986245542537,0.740355,464.4415,297.655296,297.655296,1071.644672,1071.644672,2536.608,19.817,3.968591979557683e+16,8,16,0.05,"[8, 4, 2, 1]",bert,results/kd-lora/task_mnli_bert_123/base_32_5e-05_0.01/peft_olora_16_0.05_8/metrics.json
kd-lora,mnli,bert,123,rslora,rslora,1,matched_accuracy,0.7818644931227713,0.740355,417.5031,297.6896,297.6896,1075.838976,1075.838976,2821.79,22.045,3.968591979557683e+16,8,16,0.05,"[8, 4, 2, 1]",bert,results/kd-lora/task_mnli_bert_123/base_32_5e-05_0.01/peft_rslora_16_0.05_8/metrics.json
kd-lora,mnli,bert,2024,adalora,adalora,1,matched_accuracy,0.7535404992358635,0.814227,511.3077,299.646976,299.646976,1098.907648,1098.907648,2304.104,18.001,3.975276988779725e+16,8,16,0.05,"[8, 4, 2, 1]",bert,results/kd-lora/task_mnli_bert_2024/base_32_5e-05_0.01/peft_adalora_16_0.05_8/metrics.json
kd-lora,mnli,bert,2024,dora,dora,1,matched_accuracy,0.7739174732552216,0.749571,499.7853,297.837056,297.837056,1243.611136,1243.611136,2357.224,18.416,3.969425954832384e+16,8,16,0.05,"[8, 4, 2, 1]",bert,results/kd-lora/task_mnli_bert_2024/base_32_5e-05_0.01/peft_dora_16_0.05_8/metrics.json
kd-lora,mnli,bert,2024,lora,lora,1,matched_accuracy,0.7717778909831889,0.740355,417.8357,297.655296,297.655296,1071.644672,1071.644672,2819.543,22.028,3.968591979557683e+16,8,16,0.05,"[8, 4, 2, 1]",bert,results/kd-lora/task_mnli_bert_2024/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
kd-lora,mnli,bert,2024,mrlora,mrlora,1,matched_accuracy,0.7984717269485482,0.869427,687.4624,300.608512,300.608512,1723.8589440000003,1723.858944,1713.702,13.388,3.980270210383872e+16,8,16,0.05,"[8, 4, 2, 1]",bert,results/kd-lora/task_mnli_bert_2024/base_32_5e-05_0.01/peft_mrlora_16_0.05_8/metrics.json
kd-lora,mnli,bert,2024,olora,olora,1,matched_accuracy,0.7715741212429954,0.740355,460.2874,297.655296,297.655296,1071.644672,1071.644672,2559.501,19.996,3.968591979557683e+16,8,16,0.05,"[8, 4, 2, 1]",bert,results/kd-lora/task_mnli_bert_2024/base_32_5e-05_0.01/peft_olora_16_0.05_8/metrics.json
kd-lora,mnli,bert,2024,rslora,rslora,1,matched_accuracy,0.7798267957208355,0.740355,399.1974,297.6896,297.6896,1075.838976,1075.838976,2951.187,23.056,3.968591979557683e+16,8,16,0.05,"[8, 4, 2, 1]",bert,results/kd-lora/task_mnli_bert_2024/base_32_5e-05_0.01/peft_rslora_16_0.05_8/metrics.json
kd-lora,mnli,bert,42,adalora,adalora,1,matched_accuracy,0.7550687722873153,0.814227,530.9862,299.646976,299.646976,1098.907648,1098.907648,2218.713,17.334,3.975276988779725e+16,8,16,0.05,"[8, 4, 2, 1]",bert,results/kd-lora/task_mnli_bert_42/base_32_5e-05_0.01/peft_adalora_16_0.05_8/metrics.json
kd-lora,mnli,bert,42,dora,dora,1,matched_accuracy,0.7778909831889964,0.749571,540.5017,297.837056,297.837056,1268.77696,1268.77696,2179.653,17.029,3.969425954832384e+16,8,16,0.05,"[8, 4, 2, 1]",bert,results/kd-lora/task_mnli_bert_42/base_32_5e-05_0.01/peft_dora_16_0.05_8/metrics.json
kd-lora,mnli,bert,42,lora,lora,1,matched_accuracy,0.7757514009169638,0.740355,543.8066,307.926016,307.926016,1080.03328,1080.03328,2166.406,16.925,3.968591979557683e+16,8,16,0.05,"[8, 4, 2, 1]",bert,results/kd-lora/task_mnli_bert_42/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
kd-lora,mnli,bert,42,mrlora,mrlora,1,matched_accuracy,0.7966377992868059,0.869427,760.3118,301.80096,301.80096,1717.567488,1717.567488,1549.504,12.106,3.980270210383872e+16,8,16,0.05,"[8, 4, 2, 1]",bert,results/kd-lora/task_mnli_bert_42/base_32_5e-05_0.01/peft_mrlora_16_0.05_8/metrics.json
kd-lora,mnli,bert,42,olora,olora,1,matched_accuracy,0.7701477330616403,0.740355,504.4291,297.655296,297.655296,1071.644672,1071.644672,2335.523,18.246,3.968591979557683e+16,8,16,0.05,"[8, 4, 2, 1]",bert,results/kd-lora/task_mnli_bert_42/base_32_5e-05_0.01/peft_olora_16_0.05_8/metrics.json
kd-lora,mnli,bert,42,rslora,rslora,1,matched_accuracy,0.7825776872134488,0.740355,507.7604,308.581376,308.581376,1082.130432,1082.130432,2320.201,18.127,3.968591979557683e+16,8,16,0.05,"[8, 4, 2, 1]",bert,results/kd-lora/task_mnli_bert_42/base_32_5e-05_0.01/peft_rslora_16_0.05_8/metrics.json
kd-lora,mrpc,bert,123,adalora,adalora,1,eval_accuracy,0.7107843137254902,0.813458,4.6876,302.415872,302.415872,1101.0048,1101.0048,2347.448,18.559,375746388295680.0,8,16,0.05,,bert,results/kd-lora/task_mrpc_bert_123/base_32_5e-05_0.01/peft_adalora_16_0.05_8/metrics.json
kd-lora,mrpc,bert,123,dora,dora,1,eval_accuracy,0.7181372549019608,0.748802,5.1125,299.229184,299.229184,1266.679808,1266.679808,2152.369,17.017,375193318981632.0,8,16,0.05,,bert,results/kd-lora/task_mrpc_bert_123/base_32_5e-05_0.01/peft_dora_16_0.05_8/metrics.json
kd-lora,mrpc,bert,123,lora,lora,1,eval_accuracy,0.7181372549019608,0.739586,4.3217,297.508864,297.508864,1101.0048,1101.0048,2546.224,20.131,375114499620864.0,8,16,0.05,,bert,results/kd-lora/task_mrpc_bert_123/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
