training_variant,model_family,task,method,metric_name,mean_value
kd-lora,deberta,wnli,olora,eval_accuracy,52.112676056338024
kd-lora,deberta,wnli,rslora,eval_accuracy,52.112676056338024
kd-lora,deberta,wnli,lora,eval_accuracy,52.112676056338024
kd-lora,deberta,wnli,mrlora,eval_accuracy,54.22535211267606
kd-lora,deberta,wnli,dora,eval_accuracy,52.112676056338024
kd-lora,deberta,wnli,mrlora-rs,eval_accuracy,54.22535211267606
kd-lora,deberta,qnli,adalora,eval_accuracy,88.54109463664653
kd-lora,deberta,rte,olora,eval_accuracy,53.30926594464501
kd-lora,deberta,rte,rslora,eval_accuracy,55.53549939831529
kd-lora,deberta,rte,lora,eval_accuracy,52.707581227436826
kd-lora,deberta,rte,mrlora,eval_accuracy,52.707581227436826
kd-lora,deberta,rte,dora,eval_accuracy,52.707581227436826
kd-lora,deberta,rte,mrlora-rs,eval_accuracy,60.95066185318893
kd-lora,deberta,mrpc,adalora,eval_accuracy,68.38235294117648
kd-lora,deberta,mrpc,adalora,eval_f1,81.22270742358079
kd-lora,roberta,mnli,olora,matched_accuracy,79.93275598573612
kd-lora,roberta,mnli,olora,mismatched_accuracy,80.55736371033359
kd-lora,roberta,mnli,rslora,matched_accuracy,80.66428935303107
kd-lora,roberta,mnli,rslora,mismatched_accuracy,81.38527257933278
kd-lora,roberta,mnli,lora,matched_accuracy,79.7493632195619
kd-lora,roberta,mnli,lora,mismatched_accuracy,80.53091944670463
kd-lora,roberta,mnli,mrlora,matched_accuracy,82.01528273051451
kd-lora,roberta,mnli,mrlora,mismatched_accuracy,82.47965825874695
kd-lora,roberta,mnli,dora,matched_accuracy,79.8125318390219
kd-lora,roberta,mnli,dora,mismatched_accuracy,80.55736371033359
kd-lora,roberta,mnli,mrlora-rs,matched_accuracy,82.78553234844624
kd-lora,roberta,mnli,mrlora-rs,mismatched_accuracy,83.04312449145647
kd-lora,bert,rte,adalora,eval_accuracy,53.42960288808665
kd-lora,bert,rte,olora,eval_accuracy,56.79903730445247
kd-lora,bert,rte,rslora,eval_accuracy,57.28038507821901
kd-lora,bert,rte,lora,eval_accuracy,56.55836341756918
kd-lora,bert,rte,mrlora,eval_accuracy,56.49819494584838
kd-lora,bert,rte,dora,eval_accuracy,56.61853188929001
